channel,title,publishDate,duration,views,watchHours,subscribers,impressions,ctr,retention,type,videoId
Uchtdorf,Connecting the Dots: How Jesus Christ Reveals Purpose in Our Trials,2025-08-31T06:00:00.000Z,397,35301,2142.5624,5531,489804,4.5,55.04,Long,by8Kotg0O40
Uchtdorf,Daily Repentance and New Beginnings,2025-11-23T07:00:00.000Z,229,6356,247.4967,150,102415,4.32,61.22,Long,ref5T73O9Ns
Uchtdorf,Discipleship Requires Patience,2025-11-06T07:00:00.000Z,331,3672,176.754,64,64263,4.04,52.35,Long,ykmHPucRx3o
Uchtdorf,Fear Not! Jesus Christ Is on Your Side,2025-10-29T06:00:00.000Z,156,4414,73.1707,18,13757,6.81,66.87,Short,N6BgcuQrN00
Uchtdorf,God’s Power is For You,2025-09-10T06:00:00.000Z,143,2687,60.8114,16,14611,5.63,79.63,Short,_GpJkjAalSM
Uchtdorf,Why Jesus Christ is the Perfect Pilot,2025-09-24T06:00:00.000Z,116,4464,48.2186,24,10368,5.65,66.55,Short,kTi8aZBZOfE
Uchtdorf,The Recipe for Effective Faith,2025-10-22T06:00:00.000Z,107,3359,41.481,19,8431,4.67,70.5,Short,MlbexBy_rVA
Uchtdorf,Connecting the Dots of God’s Grand Design for Your Life,2025-12-02T07:00:00.000Z,130,2779,41.4052,8,5419,6.51,66.13,Short,_tTSEtiTUhw
Uchtdorf,Nourishing the Fire of Your Testimony,2025-11-10T07:00:00.000Z,163,2280,34.1361,6,8694,5.15,54.88,Short,P1gXCmtYQIw
Uchtdorf,Can Joy and Sorrow Coexist?,2025-12-09T07:00:00.000Z,111,2258,24.5195,7,3134,6,65.26,Short,G1nlwvrWJGg
Uchtdorf,We Are One in Christ,2025-11-19T07:00:00.000Z,89,2068,21.8426,10,6043,4.7,70.58,Short,U1jz8pIaCHI
Uchtdorf,Repentance Brings a Clear New Day,2025-11-27T07:00:00.000Z,73,1793,13.7211,3,3291,6.81,72.25,Short,F3WHjsfFkl8
Christofferson,One of God’s Most Important Gifts,2025-10-24T06:00:00.000Z,381,16227,869.2306,437,207479,5.26,50.61,Long,YxtOnDwZ1KA
Christofferson,Seeking the Kingdom First: How to Align Your Life with God’s Will,2025-08-31T06:00:00.000Z,226,15400,594.2629,763,213608,4.49,61.47,Long,tDqIfUqt4wU
Christofferson,"""Look Unto Me, and Be Ye Saved""",2025-11-11T07:00:00.000Z,208,1727,64.7299,17,22690,5.06,64.89,Long,1Vh1tixwBiI
Christofferson,A Testimony From D. Todd Christofferson,2025-10-14T06:00:00.000Z,112,4816,52.9711,51,18202,5.27,52.36,Short,vJi4Pv9Gi58
Christofferson,What it Means to Be a Witness of the Name of Christ,2025-11-05T07:00:00.000Z,177,2643,48.6537,9,13682,5.48,58.11,Short,WKvXRNbjjY0
Christofferson,What the Book of Mormon Teaches Us About Prospering in Life,2025-11-16T07:00:00.000Z,123,3328,42.9336,11,9438,6.22,70.19,Short,TCssm4mDdSw
Christofferson,How to Find Balance,2025-12-10T07:00:00.000Z,179,2269,42.7857,3,3759,5.45,62.61,Short,sPUcW1B3YTk
Christofferson,This Is Our Time to Do Our Part,2025-09-24T06:00:00.000Z,82,2798,29.0858,7,12483,5.88,65,Short,sU9Ga0KzDz8
Christofferson,3 Essential Things That Will Bless a Teenager's Life,2025-09-10T06:00:00.000Z,76,472,6.2952,0,3591,5.93,91.6,Short,fhv9ijmSDpo
Renlund,God Can Speak to Us Through Music,2025-10-10T06:00:00.000Z,98,6148,94.0232,158,44810,5.9,70.96,Short,_EE23tEp2rU
Renlund,Jesus Christ Has the Power to Make Us Holy,2025-09-22T06:00:00.000Z,85,3453,38.4615,58,16717,6.13,70.29,Short,s8n-JA5eIO8
Renlund,"You Can’t Help Everybody, But You Can Help Somebody",2025-12-07T07:00:00.000Z,180,1460,30.1713,2,7891,5.72,62.88,Short,XnEEM4445r4
Renlund,The Savior's Open Arms of Forgiveness,2025-11-23T07:00:00.000Z,85,2905,20.3731,14,8631,4.89,65.67,Short,fzwtideG1v8
Renlund,Don't Look Beyond the Mark; Focus on the Savior,2025-10-31T06:00:00.000Z,60,2540,20.0665,6,5444,5.36,85.29,Short,h2Jb1hVeSqE
Renlund,"We Go About ""Doing Good,"" as Jesus Did",2025-11-25T07:00:00.000Z,129,2465,13.9191,4,5254,5.52,56.39,Short,vopUwM38wL8
Renlund,The POWER of Combining the Savior's Gospel and His Church,2025-08-31T06:00:00.000Z,122,508,10.0543,148,6921,4.38,58.36,Short,sO_vHQHU0yI
Renlund,Why The Book of Mormon is a Miracle,2025-09-08T06:00:00.000Z,58,579,5.2387,5,3232,5.94,101.25,Short,2BQlWxu2PtA
Renlund,Become the Kind of Pioneers the Lord Needs,2025-12-11T07:00:00.000Z,72,62,0.7518,0,430,5.81,91.18,Short,UZBjpWd-15E
Bednar,Joseph Smith in Palmyra: The Moment Heaven Spoke,2025-11-02T06:00:00.000Z,546,38968,2808.3294,802,582029,4.18,47.52,Long,Yi83V3hBvhA
Bednar,Ministering to Latter-day Saints Following Meetinghouse Attack,2025-10-01T06:00:00.000Z,140,89381,1263.7412,1038,162496,6.68,59.78,Short,dqveyZ7jWf8
Bednar,We Will Be Known by Our Kindness and Integrity,2025-09-23T06:00:00.000Z,73,45789,462.6773,379,130255,7.61,78.29,Short,SCzRRhSAuW4
Bednar,How to Turn Pain into Peace,2025-09-07T06:00:00.000Z,110,18372,278.4283,532,83053,6.98,77.94,Short,o0D_FBA8fyE
Bednar,The Strength to Change Comes from Jesus Christ,2025-10-27T06:00:00.000Z,178,5803,150.9267,28,28538,6.41,76.17,Short,RJX74SvMYy0
Bednar,Jesus Christ's Ancient Church Is Restored,2025-08-31T06:00:00.000Z,195,3365,82.8328,337,38472,4.3,45.44,Long,pS0Cml5bSR4
Bednar,Jesus Christ’s Atonement Applies to YOU,2025-10-09T06:00:00.000Z,67,6597,68.3683,26,20158,6.53,85.04,Short,uHlvby1ymCs
Bednar,The Divine Origin of The Book of Mormon,2025-11-16T07:00:00.000Z,122,3389,54.3652,2,15614,6.57,73.22,Short,jAPRUiYWVp8
Bednar,Hill Cumorah: A Place of Miracles and Learning,2025-11-20T07:00:00.000Z,169,2751,52.0443,3,17530,4.08,67.76,Short,uK1wJslFazw
Bednar,A Witness of Christ: The Book of Mormon's Promise,2025-11-30T07:00:00.000Z,126,3022,47.2348,8,12887,7.11,66.17,Short,xkfqB8sajC8
Bednar,What Matters Most Are Our Covenants That Connect Us with Deity,2025-10-19T06:00:00.000Z,60,4707,44.6297,4,14140,7.04,83.79,Short,b-SM4sku-iM
Bednar,The First Vision is Evidence of God's Love,2025-11-09T07:00:00.000Z,144,2685,44.4086,9,11493,5.22,74.61,Short,1tdmf_G6RHE
Stevenson,What Do Lost Car Keys Teach Us About Discipleship?,2025-10-21T06:00:00.000Z,337,4534,205.7575,118,73381,4.06,48.48,Long,yjXFoANr-J4
Stevenson,Built On The Foundation of Jesus Christ,2025-11-06T07:00:00.000Z,176,5443,128.3689,105,41906,6.8,60.02,Short,8CmAl-D0KXc
Stevenson,An Amazing Example of Pioneer Sacrifices in South America,2025-12-08T07:00:00.000Z,199,3573,109.5298,51,57581,3.62,55.47,Long,pc_IQw7IZ0Y
Stevenson,Blessed are the Peacemakers,2025-10-04T06:00:00.000Z,125,4604,85.6495,167,37843,5.44,69.97,Short,0RK7uNxHT54
Stevenson,"“I Was Nervous, But I Moved Forward”",2025-09-25T06:00:00.000Z,81,6580,82.655,125,46271,8.46,64.43,Short,cc-Ljdd5OOE
Stevenson,I Will Lead You Along,2025-11-28T07:00:00.000Z,165,4267,79.0096,47,18894,5.88,70.61,Short,YiDQymTd6ac
Stevenson,This Beautiful Hymn Draws Our Hearts Closer to Jesus Christ,2025-10-30T06:00:00.000Z,180,2884,60.1576,21,17345,6.13,59.74,Short,jkkmPZ20nqY
Stevenson,The Church of Jesus Christ's Extraordinary Future,2025-08-31T06:00:00.000Z,117,1656,28.2089,220,23812,3.47,52.41,Short,XWIrTUXchLM
Stevenson,Heroic Pioneers in South America,2025-12-11T07:00:00.000Z,180,1205,19.2572,2,3233,4.7,55.72,Short,agUzEwWqaew
Stevenson,This Beautiful Hymn Draws Our Hearts Closer to Jesus Christ,2025-10-30T06:00:00.000Z,181,507,15.8428,6,5678,5.64,62.15,Long,0sDUTs84VLQ
Stevenson,Kansas City Giving Machine Event #LightTheWorld,2025-11-24T07:00:00.000Z,117,1998,13.5149,2,3941,4.16,42.3,Short,XmVMOjTNpwM
Stevenson,100 Years of The Church of Jesus Christ in South America,2025-09-12T06:00:00.000Z,46,708,5.129,3,3786,6,96.28,Short,Exq91wEEpBQ
Gong,"Faith, Respect, & Moral Compass in an Age of AI",2025-10-22T06:00:00.000Z,1435,18342,2479.1487,503,281290,3.69,33.91,Long,LgpfhIEXctQ
Gong,A Sister’s Letter: No One Sits Alone,2025-12-03T07:00:00.000Z,303,13845,655.6607,253,197712,4.69,56.25,Long,l42DHPOBTVQ
Gong,How One Man Found Hope After a Terminal Diagnosis,2025-08-31T06:00:00.000Z,497,3998,278.3255,411,54599,3.72,50.44,Long,G9eKp_Is4e0
Gong,An Apostle's Advice for a Surfer-Turned-Missionary,2025-11-06T07:00:00.000Z,268,6981,226.656,88,73183,5.76,43.61,Long,TFCmtksJAP8
Gong,How I Shared the Book of Mormon During a Road Trip,2025-12-08T07:00:00.000Z,54,3277,24.4467,2,14214,6.1,93.41,Short,Fs_Gv8Gyhws
Gong,We Are All Better When No One Sits Alone,2025-11-30T07:00:00.000Z,108,1819,19.4619,6,5568,4.58,64.25,Short,xOMh1AJYRlU
Gong,We Are All Better When No One Sits Alone,2025-11-26T07:00:00.000Z,222,503,18.555,1,6627,4.24,59.9,Long,lbot8dpy3kM
Gong,"What Does ""Holiness to the Lord"" Mean?",2025-10-09T06:00:00.000Z,69,1845,18.2716,6,5679,5.48,77.88,Short,ruUdcYz6Hnc
Gong,He Traded a Surfboard for a Missionary Name Tag,2025-11-16T07:00:00.000Z,97,2177,16.7897,6,4936,4.68,47.48,Short,93Aa_oF9kPI
Gong,Faith and Repentance Can Always Be Our Reset,2025-11-03T07:00:00.000Z,42,2386,15.3371,2,8353,7.41,81.79,Short,jHjWPQPKoRw
Gong,All Things Will Work Together for Your Good,2025-09-12T06:00:00.000Z,50,984,7.7511,5,4432,5.55,109.26,Short,4YrFCAU5wwo
Eyring Table,A Tribute to President Russell M. Nelson,2025-10-01T06:00:00.000Z,179,16302,258.566,216,104438,5.26,53.15,Short,76kJdx5xO2I
Eyring Table,"Because of Temple Covenants, There is No Need to Fear",2025-08-31T06:00:00.000Z,372,3352,170.5251,562,32520,4.13,49.23,Long,HnXAXaHLa9k
Eyring Table,"With God's Help, Struggles Make Us Strong",2025-11-20T07:00:00.000Z,299,3593,166.4737,79,56641,4.01,55.8,Long,hj13EcMMRu0
Eyring Table,All Will Be Well Because of the Temple,2025-09-25T06:00:00.000Z,117,8497,136.5064,176,59267,7.83,63.82,Short,Dxh50OoGlF8
Eyring Table,A Testimony From President Henry B. Eyring,2025-10-14T06:00:00.000Z,176,5918,118.9723,60,31375,6.44,60.61,Short,scBo8fHXOAE
Eyring Table,Love & Hope: Who Will You Comfort This Christmas?,2025-12-08T07:00:00.000Z,752,907,81.0559,7,7420,3.96,43.39,Long,SZlkaumJ1h0
Eyring Table,Don't Give in to Your Doubts. God Will Help You!,2025-09-12T06:00:00.000Z,161,2488,56.6437,125,17718,6.15,66.4,Short,U52s50bUHr8
Eyring Table,You Can Do All Things with Faith in God,2025-11-25T07:00:00.000Z,146,1600,27.3403,9,6903,5.75,73.97,Short,WYl7pz-lZvo
Eyring Table,Christmas Traditions of Love and Hope,2025-12-11T07:00:00.000Z,175,868,13.7511,2,1982,5.35,65.2,Short,cey_3-edsX8
Holland Table,Coming to Christ: Pivotal Moments from My Youth | Utah Area Young Single Adult Devotional,2025-09-05T06:00:00.000Z,2651,80681,23501.064,1466,1147693,2.6,39.56,Long,KLi_quKhLBc
Holland Table,How Do I Know When I'm Forgiven by God?,2025-10-22T06:00:00.000Z,288,60846,2842.517,2092,861839,4.95,58.4,Long,fhWsprQ_lxE
Holland Table,The Book of Mormon Teaches Faith in Jesus Christ,2025-09-22T06:00:00.000Z,178,20348,527.8162,568,109577,7.23,71.66,Short,bxO3moacowY
Holland Table,We Without Them Cannot Be Made Perfect,2025-11-05T07:00:00.000Z,179,19144,440.8665,166,71250,7.2,72.55,Short,5TLDxfSbqEE
Holland Table,“I’ll Be Home for Christmas”,2025-12-08T07:00:00.000Z,529,6563,425.8722,61,84143,3.93,44.36,Long,0E-3VY9fX1k
Holland Table,"I Was Blind, Now I See",2025-12-04T07:00:00.000Z,376,5963,330.3469,160,66156,3.78,53.04,Long,4-29-iIoUpQ
Holland Table,Why Kirtland Ohio is So Important in Christ's Restored Church,2025-08-31T06:00:00.000Z,246,6172,246.7826,420,55016,5.33,58.51,Long,OhCveypxPnI
Holland Table,Miracles Are Real Today,2025-12-05T07:00:00.000Z,150,16654,241.3733,69,37406,6.79,64.36,Short,2yQ1WKkw8no
Holland Table,Look Unto God—Fear Not,2025-10-28T06:00:00.000Z,170,13629,205.5205,74,31966,5.31,68,Short,3AshNNqx44Q
Holland Table,My Memories of BYU,2025-11-09T07:00:00.000Z,132,9352,153.9775,24,37970,5.41,69.35,Short,UOKQF2Ov2RY
Holland Table,A Tribute to President Russell M. Nelson,2025-10-01T06:00:00.000Z,110,7552,112.3706,49,43635,5.28,72.24,Short,hrFfIIOyg2A
Holland Table,A Testimony From President Jeffrey R. Holland,2025-10-14T06:00:00.000Z,117,6257,85.3832,32,33901,5.78,62.86,Short,hFXcsP3yF0k
Holland Table,What is the True Cost of Christian Discipleship?,2025-12-11T07:00:00.000Z,179,3988,72.0799,11,10926,6.83,71.28,Short,cKCeiG5dr5M
Holland Table,"Feeling ""At Home"" During Christmas",2025-12-08T07:00:00.000Z,166,4727,70.9537,5,14108,5.29,64.9,Short,5utwJyd_EwY
Holland Table,God Hears Every Prayer,2025-11-11T07:00:00.000Z,56,8759,66.8457,9,10024,6.32,114,Short,xA_3e_fTZTs
Holland Table,We Have a Work to Do | Utah Area Young Single Adult Devotional,2025-11-02T06:00:00.000Z,114,4158,55.2738,4,11828,6.26,66.12,Short,UIrlAnnCCy0
Andersen Table,How the First Presidency Found Strength in Christ,2025-08-31T06:00:00.000Z,413,9776,601.8991,707,125934,4.15,53.67,Long,_mqqlobxp6E
Andersen Table,Standing for Truth: Reflections from a Worldwide Devotional for Young Adults,2025-11-03T07:00:00.000Z,927,3951,192.7352,40,25548,4.22,18.94,Long,BX0YD_om48c
Andersen Table,My Q&A with Young Adults in the Philippines,2025-11-21T07:00:00.000Z,342,2548,130.2919,40,40790,4.29,53.84,Long,FAmFBFXh6_8
Andersen Table,Testimony of President Oaks through the Years,2025-11-10T07:00:00.000Z,178,5675,79.4034,37,13182,5.52,53.69,Short,TPPtRpgv37s
Andersen Table,God Knows Your Struggles—and Your Faith,2025-09-22T06:00:00.000Z,97,3660,59.0018,20,10328,6.7,101.44,Short,huha7RXp0DI
Andersen Table,The Temple IS the House of the Lord,2025-10-08T06:00:00.000Z,134,5844,43.1688,9,7440,4.88,51.65,Short,rUc-DOVoZ7k
Andersen Table,God Knows and Understands YOU,2025-12-03T07:00:00.000Z,97,2978,36.2801,16,5061,5.99,85,Short,3HPoLKMuDmY
Andersen Table,Be Thankful in ALL Things,2025-11-27T07:00:00.000Z,102,2457,32.0773,6,5935,7.33,80.99,Short,7_WrsuTIbT4
Andersen Table,A Visit to Zaison Hill,2025-10-20T06:00:00.000Z,106,1559,28.8144,2,8873,5.78,92.65,Short,7gaVuz9dueU
Andersen Table,How to Know You've Been Forgiven by God,2025-09-07T06:00:00.000Z,128,1248,22.0147,13,5901,5.54,66.7,Short,Hn1wuWPSCvQ
Andersen Table,A Temple in Mongolia,2025-09-24T06:00:00.000Z,89,2352,21.4069,8,5730,6.06,62.74,Short,4rmYZgawhhM
Andersen Table,A Special Visit | Elder Andersen Meets a Family in Mongolia,2025-10-09T06:00:00.000Z,173,1173,14.7576,1,3639,6.1,35.54,Short,D5Bew30p8Vc
Andersen Table,Prioritize Eternal Marriage,2025-12-09T07:00:00.000Z,54,1974,10.1861,3,2724,5.32,73.74,Short,BlkFFTN5gIo
Kearon Table,Building the World We Hope to Live In,2025-10-12T06:00:00.000Z,472,15283,810.9175,291,169692,5.47,40.47,Long,AcIlZGrJsWc
Kearon Table,YOU Belong in the Light of Christ,2025-08-31T06:00:00.000Z,528,5999,423.3176,555,73173,4.55,48.11,Long,1sBicu6VBEo
Kearon Table,A Plea to Continue Reaching Up,2025-09-24T06:00:00.000Z,104,3588,49.9939,30,16454,6.51,68.78,Short,FD6lMT0dVGo
Kearon Table,Heavenly Father Yearns for Us to Come Home,2025-11-25T07:00:00.000Z,108,3170,45.0835,18,9680,5.81,78.47,Short,q7-dCiTWtZ4
Kearon Table,The Light of Christ Always Overcomes Darkness,2025-12-04T07:00:00.000Z,178,2246,42.9987,13,10473,6.07,57.88,Short,L1KFrDRuDIw
Kearon Table,Fullness of the Soul,2025-10-26T06:00:00.000Z,164,2450,38.6845,7,11111,4.01,53.98,Short,Kyf3T2ynGnk
Kearon Table,Avoid the Extremes—Be a Peacemaker,2025-11-12T07:00:00.000Z,92,2773,35.1486,18,8175,7.9,78.82,Short,5tCRXhM_fPI
Kearon Table,God Loves You More Than You Can Imagine,2025-09-10T06:00:00.000Z,92,1007,14.9273,7,6144,5.58,85.2,Short, -yGJYnnO6kw
Cook Table,The Real Measure of Success,2025-09-22T06:00:00.000Z,149,3602,87.4566,135,36192,5.69,70.34,Short,rG_oYOqONPY
Cook Table,No Success in Life Compensates for Failure in the Home,2025-08-31T06:00:00.000Z,332,1567,74.6444,301,29047,3.43,51.65,Long,bzXTQ0MhO_Y
Cook Table,Our Sacred Duty to Nurture a Growing Church,2025-11-13T07:00:00.000Z,292,1157,50.969,16,19856,3.76,54.35,Long,w4u1BGaUhoo
Cook Table,Keep Your Goals on Eternal Families,2025-10-10T06:00:00.000Z,95,1585,24.1183,11,10023,5.04,79.68,Short,VWsMVTco7zk
Cook Table,Jesus Christ Overcomes Everything Unfair about This Life,2025-11-05T07:00:00.000Z,92,1502,19.2813,1,5581,5.48,82.38,Short,X1K1JNB6vJk
Cook Table,Finding True Belonging in Jesus Christ,2025-09-08T06:00:00.000Z,85,1035,14.7274,21,8786,6.34,77.22,Short,ppsS-wP-Lpg
Cook Table,Having Faith in Jesus Christ During Turbulent Times,2025-11-26T07:00:00.000Z,120,1012,14.7174,2,4889,4.48,71.88,Short,Y1zFFANBbks
Cook Table,"When Things Go Wrong, Look to Jesus Christ",2025-10-29T06:00:00.000Z,45,1672,10.7673,3,3470,6.43,105.84,Short,Y_MCf5KrgPs
Cook Table,A Loving Way to Worship the Savior This Christmas #LightTheWorld,2025-12-01T07:00:00.000Z,51,1418,7.8277,3,2934,5.56,82.73,Short,QOqBfFeU4RU
Rasband Table,Jesus Christ's Church Will Fill the World,2025-08-31T06:00:00.000Z,263,1699,63.0167,264,31907,3.35,50.74,Long,5jQA6myV7sI
Rasband Table,The First Missionaries in the Republic of Seychelles,2025-11-07T07:00:00.000Z,102,3629,55.1895,39,27647,6.38,71.42,Short,k3evvHFBro4
Rasband Table,How to Make Self-Improvement Permanent,2025-09-09T06:00:00.000Z,78,3175,45.939,99,28195,6.41,82.07,Short,QMFJniZC7M8
Rasband Table,A Monumental Day in Addis Ababa Ethiopia,2025-11-02T06:00:00.000Z,77,3385,39.7776,25,21319,5.81,81.28,Short,qZt1Rrkf9fQ
Rasband Table,We Can Learn from All of God’s Children,2025-09-23T06:00:00.000Z,68,3771,39.253,72,19987,5.47,80.92,Short,ns_nVb9xsO0
Rasband Table,The Miraculous Growth of the Church of Jesus Christ,2025-10-10T06:00:00.000Z,87,2496,27.7217,34,13709,6.01,67.29,Short,vT0Ej3izzf4
Rasband Table,Jesus Christ is the Reason,2025-11-26T07:00:00.000Z,71,1759,14.7809,15,6908,6.99,76.72,Short,CxPG0J7WkVs
Rasband Table,"You Are a Child of God, Loved Beyond Measure",2025-10-27T06:00:00.000Z,67,1538,12.9413,9,5605,5.25,73.55,Short,MAhPMMqC1OY
Rasband Table,Kenya's Melodies of Hope and Joy,2025-10-28T06:00:00.000Z,82,1495,9.2044,2,4318,3.64,47.69,Short,vVI6ObN43Mo
Rasband Table,A Joyful Reunion with South Sudanese Disciples of Christ,2025-10-30T06:00:00.000Z,86,565,7.6151,1,4107,4.04,76.14,Short,s-5JJeuJJfI
Soares Table,How God Can Turn Obstacles Into Blessings,2025-10-10T06:00:00.000Z,179,5281,114.0141,114,36775,6.68,57.21,Short,LiPG_neqi1g
Soares Table,The Lord Will Make Your Burdens Light,2025-10-23T06:00:00.000Z,173,3590,84.675,99,58453,4.36,49.09,Short,H6fnWh5A1Vc
Soares Table,Jesus Christ Will Strengthen Us in Sorrow,2025-10-28T06:00:00.000Z,156,1116,22.1026,0,8495,3.93,72.63,Short,5WtslCtdzjI
Soares Table,Jesus Christ Is the Light: A Missionary Vision for the World,2025-08-31T06:00:00.000Z,87,1940,16.5103,237,12419,4.11,35.22,Short,NoOIn_fIwjw
Soares Table,Serving Others Invites Godly Power,2025-09-23T06:00:00.000Z,156,547,13.2947,1,3282,5.33,69.93,Short,4OhB_lmwdxE
Soares Table,Jesus Christ Will Never Give Up on You,2025-12-02T07:00:00.000Z,135,401,8.5311,0,2392,4.47,73.84,Short,H5nv4kibSbY
Soares Table,"A New Temple in Bahía Blanca, Argentina",2025-11-25T07:00:00.000Z,86,684,6.9989,0,2954,4.91,71.64,Short,rSGyfrD1aGg
Soares Table,The Amazing Power of Making Covenants With God,2025-09-09T06:00:00.000Z,60,381,3.2555,2,2359,5.13,106.51,Short,eBw9hWPy4MA